State,In-State Tuition,Out Of State Tuition,In-State National Average,Out-Of-State National Average
Alabama ,20497.45,26516.7,21006.57837,26225.31531
Alaska ,19618.75,26766.68,,
Arizona ,24016.21,27417.2,,
Arkansas ,18223.36,21459.88,,
California ,23037.44,32177.16,,
Colorado ,22184.97,30773.06,,
Connecticut,27563.51,35197.43,,
Delaware ,24357.68,31581.56,,
District of Columbia ,8000,12704,,
Florida ,15236.9,18513.52,,
Georgia ,18553.84,23167.2,,
Hawaii ,21853.97,31773.89,,
Idaho ,16337.62,24844.89,,
Illinois ,25806.17,29514.76,,
Indiana ,19985.34,29532.75,,
Iowa ,19808.86,27346.41,,
Kansas ,19101.05,23745.44,,
Kentucky ,21798.84,26048.39,,
Louisiana ,19497.76,22128.07,,
Maine ,20457.63,28522.69,,
Maryland ,22504.07,27983.65,,
Massachusetts ,27618.17,31894,,
Michigan ,24086.39,36832.05,,
Minnesota ,21611.47,24441.75,,
Mississippi ,19079.99,19401.85,,
Missouri ,18733.65,20877.16,,
Montana ,16732.33,25239.13,,
Nebraska ,19520.1,22152.04,,
Nevada ,17986.81,21678.27,,
New Hampshire ,28733.78,30594.06,,
New Jersey ,28372.09,29434.87,,
New Mexico ,16192.75,19180.76,,
New York ,23874.62,22668.89,,
North Carolina ,17569.15,23356.82,,
North Dakota ,17448.83,13935.99,,
Ohio ,22387.69,24829.81,,
Oklahoma ,16959.53,21695.36,,
Oregon ,23582.25,32067.85,,
Pennsylvania ,27403.31,30221.91,,
Rhode Island ,25591.65,30871.2,,
South Carolina ,22789.83,32852.95,,
South Dakota ,17298.48,12866.4,,
Tennessee ,20359.59,24786.08,,
Texas ,18710.73,24888.8,,
Utah ,14618.95,21272.81,,
Vermont ,29664.52,41056.59,,
Virginia ,25074.33,35831.02,,
Washington ,19846.24,30154.5,,
West Virginia ,19033.69,22242.2,,
