Stadium,City,State,Team,Conference,Capacity,Record1,Built,Expanded 2,Surface
Acrisure Stadium,Pittsburgh,PA,Pittsburgh,ACC,68400,70622 ,2001,nan,Grass
Aggie Memorial Stadium,Las Cruces,NM,New Mexico State,C-USA,30343,32993 ,1978,2005,S5-M Synthetic Turf
Alamodome,San Antonio,TX,UTSA,American,65000,56743 ,1993,nan,SportField
Alaska Airlines Field at Husky Stadium,Seattle,WA,Washington,Big Ten,70083,76125 ,1920,2013,FieldTurf
Albertsons Stadium,Boise,ID,Boise State,Mountain West,36387,36864 ,1970,2012,FieldTurf
Allegiant Stadium,Paradise,NV,UNLV,Mountain West,65000,56511 ,2020,nan,FieldTurf
Allen E. Paulson Stadium,Statesboro,GA,Georgia Southern,Sun Belt,25000,25735 ,1984,2014,FieldTurf Vertex Prestige with CoolPlay[6]
Alumni Stadium,Chestnut Hill,MA,Boston College,ACC,44500,44500,1957,1995,AstroTurf
Amon G. Carter Stadium,Fort Worth,TX,TCU,Big 12,45000,50307 ,1929,2012,Grass
DATCU Stadium,Denton,TX,North Texas,American,30850,30150 ,2011,nan,PowerBlade Artificial Turf
Arizona Stadium,Tucson,AZ,Arizona,Big 12,56029,59920 ,1928,1988,FieldTurf
Arthur L. Williams Stadium,Lynchburg,VA,Liberty,C-USA,25000,24012 ,1989,2018,FieldTurf
Autzen Stadium,Eugene,OR,Oregon,Big Ten,54000,60055 ,1967,2002,FieldTurf
Bagwell Field at Dowdy–Ficklen Stadium,Greenville,NC,East Carolina,American,50000,51082 ,1963,2010,Tifton 419 Hybrid Bermuda
Beaver Stadium,University Park,PA,Penn State,Big Ten,106572,110889 ,1959,2001,Grass
Benson Field at Yulman Stadium,New Orleans,LA,Tulane,American,30000,30118 ,2014,nan,Act Global UBU Speed Series S5-M
Bill Snyder Family Football Stadium,Manhattan,KS,Kansas State,Big 12,50000,53811 ,1968,2005,Synthetic Turf
Blaik Field at Michie Stadium,West Point,NY,Army,American,38000,42765 ,1924,2001,Field Turf
Bobby Bowden Field at Doak S. Campbell Stadium,Tallahassee,FL,Florida State,ACC,79560,84409 ,1950,2003,Grass
Bobby Dodd Stadium at Hyundai Field,Atlanta,GA,Georgia Tech,ACC,55000,60316,1913,2003,Legion NXT turf
Boone Pickens Stadium,Stillwater,OK,Oklahoma State,Big 12,60218,60218 ,1919,2005,Astroturf 3D Decade
Elliott T. Bowers Stadium,Huntsville,TX,Sam Houston,C-USA,14000,16148 ,1986,1986,Real Grass Pro Artificial Turf
Bridgeforth Stadium,Harrisonburg,VA,James Madison,Sun Belt,24878,26159 ,1975,2011,FieldTurf
Brigham Field at Huskie Stadium,DeKalb,IL,NIU,MAC,23595,28221 ,1965,1995,FieldTurf
Brooks Field at Wallace Wade Stadium,Durham,NC,Duke,ACC,40000,57500 ,1929,2016,Latitude 36 Bermuda Grass
Brooks Stadium,Conway,SC,Coastal Carolina,Sun Belt,20000,nan,2003,2018,Shaw Power Blade HD Turf
Bryant–Denny Stadium,Tuscaloosa,AL,Alabama,SEC,100077,101821,1929,2010,Grass
Burgess–Snow Field at JSU Stadium,Jacksonville,AL,Jacksonville State,C-USA,24000,23944 ,1947,2010,ProGrass
Cajun Field,Lafayette,LA,Louisiana,Sun Belt,41426,41357 ,1971,2015,ProGrass
Camp Randall Stadium,Madison,WI,Wisconsin,Big Ten,76118,83184 ,1917,2005,FieldTurf
L&N Federal Credit Union Stadium,Louisville,KY,Louisville,ACC,61000,58187 ,1998,2018,FieldTurf
"Carl Smith Center, Home of David A. Harrison III Field at Scott Stadium",Charlottesville,VA,Virginia,ACC,61500,64947 ,1931,2000,Grass
Carlisle-Faulkner Field at M.M. Roberts Stadium,Hattiesburg,MS,Southern Miss,Sun Belt,36000,36641 ,1932,2008,Shaw Sports Momentum Turf
CEFCU Stadium,San Jose,CA,San Jose State,Mountain West,18265,31681 ,1933,1985,AstroTurf
Centennial Bank Stadium,Jonesboro,AR,Arkansas State,Sun Belt,30964,31243 ,1974,2002,ProGreen
Center Parc Stadium,Atlanta,GA,Georgia State,Sun Belt,25000,24333,1996,2017 (conversion from Turner Field),Artificial Turf
Clarence T. C. Ching Athletics Complex,Honolulu,HI,Hawaiʻi,Mountain West,16909,9346,2015,2021; expanded 2023,Artificial turf
Darrell K Royal–Texas Memorial Stadium,Austin,TX,Texas,SEC,100119,105213 ,1924,2009,FieldTurf
David Booth Kansas Memorial Stadium,Lawrence,KS,Kansas,Big 12,50071,52530 ,1921,1999,FieldTurf
Davis Wade Stadium at Scott Field,Starkville,MS,Mississippi State,SEC,61337,62945 ,1914,2014,Prescription Athletic Turf (Tifway 419 Bermuda Grass)
Dix Stadium,Kent,OH,Kent State,MAC,25000,27363 ,1969,2008,FieldTurf
"Donald W. Reynolds Razorback Stadium, Frank Broyles Field",Fayetteville,AR,Arkansas,SEC,76212,82808 ,1938,2006,PowerBlade HP
Doyt L. Perry Stadium,Bowling Green,OH,Bowling Green,MAC,24000,33527 ,1966,nan,FieldTurf
Falcon Stadium,Colorado Springs,CO,Air Force,Mountain West,46692,56409 ,1962,nan,FieldTurf
Faurot Field at Memorial Stadium,Columbia,MO,Missouri,SEC,61620,75298 ,1927,2014,FieldTurf
FBC Mortgage Stadium,Orlando,FL,UCF,Big 12,44206,48453 ,2007,nan,Grass
Fifth Third Stadium,Kennesaw,GA,Kennesaw State,C-USA,8318,9506 ,2010,PlayMaster hybrid[55]
Folsom Field,Boulder,CO,Colorado,Big 12,50183,54972 ,1924,2003,Grass
"Mountain America Stadium, Home of the ASU Sun Devils/Frank Kush Field",Tempe,AZ,Arizona State,Big 12,56232,74963 ,1958,2016,Bermuda Grass
Frank Howard Field at Clemson Memorial Stadium,Clemson,SC,Clemson,ACC,81500,86092 ,1942,2006,Grass
Fred C. Yager Stadium,Oxford,OH,Miami,MAC,24286,30087 ,1983,2005,FieldTurf
California Memorial Stadium,Berkeley,CA,California,ACC,62717,83000 ,1923,2012,FieldTurf
Gaylord Family – Oklahoma Memorial Stadium at Owen Field,Norman,OK,Oklahoma,SEC,86112,88308 ,1923,2019,Grass
Gerald J. Ford Stadium,University Park,TX,SMU,ACC,32000,35481 ,2000,nan,FieldTurf
Glass Bowl,Toledo,OH,Toledo,MAC,26038,36852 ,1937,1990,FieldTurf
Hancock Whitney Stadium,Mobile,AL,South Alabama,Sun Belt,25450,20156 ,2020,nan,FieldTurf
